12 items
  1.00  0.87  0.33  0.58  0.00  0.33  0.67  0.00  0.87  0.82  0.67  0.67
  0.87  1.00  0.58  0.75  0.00  0.58  0.87  0.50  0.75  0.71  0.58  0.58
  0.33  0.58  1.00  0.58  0.58  0.67  0.67  0.58  0.58  0.00  0.33  0.67
  0.58  0.75  0.58  1.00  0.50  0.87  0.58  0.50  0.75  0.71  0.87  0.58
  0.00  0.00  0.58  0.50  1.00  0.58  0.00  0.00  0.50  0.00  0.58  0.58
  0.33  0.58  0.67  0.87  0.58  1.00  0.33  0.58  0.58  0.41  0.67  0.67
  0.67  0.87  0.67  0.58  0.00  0.33  1.00  0.58  0.58  0.41  0.33  0.33
  0.00  0.50  0.58  0.50  0.00  0.58  0.58  1.00  0.00  0.00  0.00  0.00
  0.87  0.75  0.58  0.75  0.50  0.58  0.58  0.00  1.00  0.71  0.87  0.87
  0.82  0.71  0.00  0.71  0.00  0.41  0.41  0.00  0.71  1.00  0.82  0.41
  0.67  0.58  0.33  0.87  0.58  0.67  0.33  0.00  0.87  0.82  1.00  0.67
  0.67  0.58  0.67  0.58  0.58  0.67  0.33  0.00  0.87  0.41  0.67  1.00
